episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible,source_artifact
198,43,21.2233,0.7,7,3,89,89,3,10,2131.18,1,python-ai/saved_models/marl/mappo_history.csv
199,369,-8.9244,0.675,13,5,83,82,2,11,1951.99,0,python-ai/saved_models/marl/mappo_history.csv
200,346,-34.0538,0.575,17,5,80,79,1,8,1825.9,0,python-ai/saved_models/marl/mappo_history.csv
201,402,-34.8091,0.6,16,7,83,82,2,7,1882.57,2,python-ai/saved_models/marl/mappo_history.csv
202,286,11.1264,0.725,9,3,94,93,2,12,2167.76,3,python-ai/saved_models/marl/mappo_history.csv
203,17,10.5726,0.675,9,4,86,85,4,12,2087.7,1,python-ai/saved_models/marl/mappo_history.csv
204,182,14.2717,0.7,9,4,84,84,2,9,2198.7,0,python-ai/saved_models/marl/mappo_history.csv
205,358,-37.9789,0.575,17,6,83,83,0,5,1967.27,2,python-ai/saved_models/marl/mappo_history.csv
206,262,-13.6159,0.65,13,6,84,83,0,6,1950.55,1,python-ai/saved_models/marl/mappo_history.csv
207,469,9.0372,0.725,11,6,75,73,0,4,2032.73,2,python-ai/saved_models/marl/mappo_history.csv
208,15,32.5655,0.775,7,1,86,85,4,11,2206.92,0,python-ai/saved_models/marl/mappo_history.csv
209,434,-0.6902,0.675,12,5,77,76,2,9,1982.56,1,python-ai/saved_models/marl/mappo_history.csv
210,341,-25.3752,0.6,16,4,80,80,0,7,1988.98,2,python-ai/saved_models/marl/mappo_history.csv
211,81,41.0531,0.85,6,4,80,80,2,20,2339.64,0,python-ai/saved_models/marl/mappo_history.csv
212,263,30.7928,0.775,8,2,81,78,2,10,2208.52,1,python-ai/saved_models/marl/mappo_history.csv
213,80,56.7973,0.875,5,1,86,86,0,11,2419.57,2,python-ai/saved_models/marl/mappo_history.csv
214,45,25.601,0.775,9,3,83,83,1,12,2152.94,2,python-ai/saved_models/marl/mappo_history.csv
215,351,14.3751,0.725,10,3,76,73,2,16,2147.14,0,python-ai/saved_models/marl/mappo_history.csv
216,10,3.902,0.725,11,5,89,89,1,13,2098.5,1,python-ai/saved_models/marl/mappo_history.csv
217,291,-7.4149,0.65,14,4,77,77,0,6,1962.55,2,python-ai/saved_models/marl/mappo_history.csv
218,181,3.6309,0.675,10,4,86,86,2,5,1995.57,1,python-ai/saved_models/marl/mappo_history.csv
219,100,22.409,0.725,7,3,86,86,4,11,2226.41,0,python-ai/saved_models/marl/mappo_history.csv
220,464,15.0058,0.725,10,3,78,75,3,10,1985.78,0,python-ai/saved_models/marl/mappo_history.csv
221,462,-19.6832,0.625,15,6,76,71,0,4,1837.99,3,python-ai/saved_models/marl/mappo_history.csv
222,181,-16.5481,0.65,14,6,80,80,2,3,1995.91,1,python-ai/saved_models/marl/mappo_history.csv
223,480,6.2401,0.725,11,7,82,77,1,7,2056.94,0,python-ai/saved_models/marl/mappo_history.csv
224,201,1.8698,0.65,11,3,80,80,2,3,1996.42,0,python-ai/saved_models/marl/mappo_history.csv
225,220,-13.8006,0.6,13,3,85,83,1,3,1900.66,4,python-ai/saved_models/marl/mappo_history.csv
226,316,26.8828,0.775,7,4,87,86,3,14,2275.94,3,python-ai/saved_models/marl/mappo_history.csv
227,315,-3.3259,0.675,12,7,84,82,0,14,2172.49,1,python-ai/saved_models/marl/mappo_history.csv
228,170,-24.1014,0.6,15,6,77,77,1,6,1912.61,1,python-ai/saved_models/marl/mappo_history.csv
229,15,18.0343,0.725,10,0,87,86,1,9,2178.61,2,python-ai/saved_models/marl/mappo_history.csv
230,209,-2.4009,0.625,11,3,80,78,3,8,2160.09,1,python-ai/saved_models/marl/mappo_history.csv
231,257,14.184,0.725,11,3,70,69,1,5,1972.16,0,python-ai/saved_models/marl/mappo_history.csv
232,54,32.7268,0.8,7,2,89,88,1,15,2304.83,1,python-ai/saved_models/marl/mappo_history.csv
233,186,23.4109,0.725,8,2,89,89,3,7,2059.05,3,python-ai/saved_models/marl/mappo_history.csv
