nodeId,time,predicted_failure_risk,prediction_uncertainty
1,70.100000,0.014554,0.000000
2,70.100000,0.042553,0.000000
3,70.100000,0.059833,0.000000
4,70.100000,0.080385,0.000000
5,70.100000,0.080386,0.000000
6,70.100000,0.049092,0.000000
7,70.100000,0.014575,0.000000
8,70.100000,0.014565,0.000000
9,70.100000,0.014558,0.000000
0,71.100000,0.080368,0.000000
1,71.100000,0.014570,0.000000
2,71.100000,0.042553,0.000000
3,71.100000,0.059833,0.000000
4,71.100000,0.080385,0.000000
5,71.100000,0.080387,0.000000
6,71.100000,0.049092,0.000000
7,71.100000,0.014574,0.000000
8,71.100000,0.014551,0.000000
9,71.100000,0.014559,0.000000
0,72.100000,0.080368,0.000000
1,72.100000,0.014576,0.000000
2,72.100000,0.042553,0.000000
3,72.100000,0.059833,0.000000
4,72.100000,0.080386,0.000000
5,72.100000,0.080386,0.000000
6,72.100000,0.049093,0.000000
7,72.100000,0.014571,0.000000
8,72.100000,0.014551,0.000000
9,72.100000,0.014571,0.000000
0,73.100000,0.080368,0.000000
1,73.100000,0.014565,0.000000
2,73.100000,0.042553,0.000000
3,73.100000,0.059833,0.000000
4,73.100000,0.080385,0.000000
5,73.100000,0.080385,0.000000
6,73.100000,0.049093,0.000000
7,73.100000,0.014560,0.000000
8,73.100000,0.014551,0.000000
9,73.100000,0.014571,0.000000
0,74.100000,0.080368,0.000000
1,74.100000,0.014569,0.000000
2,74.100000,0.042553,0.000000
3,74.100000,0.059834,0.000000
4,74.100000,0.080386,0.000000
5,74.100000,0.080386,0.000000
6,74.100000,0.049094,0.000000
7,74.100000,0.014562,0.000000
8,74.100000,0.014556,0.000000
9,74.100000,0.014582,0.000000
0,75.100000,0.080368,0.000000
1,75.100000,0.014589,0.000000
2,75.100000,0.042553,0.000000
3,75.100000,0.059833,0.000000
4,75.100000,0.080386,0.000000
5,75.100000,0.080386,0.000000
6,75.100000,0.049094,0.000000
7,75.100000,0.014574,0.000000
8,75.100000,0.014566,0.000000
9,75.100000,0.014580,0.000000
0,76.100000,0.080367,0.000000
1,76.100000,0.014585,0.000000
2,76.100000,0.042553,0.000000
3,76.100000,0.059833,0.000000
4,76.100000,0.080385,0.000000
5,76.100000,0.080385,0.000000
6,76.100000,0.049095,0.000000
7,76.100000,0.014566,0.000000
8,76.100000,0.014571,0.000000
9,76.100000,0.014561,0.000000
0,77.100000,0.080367,0.000000
1,77.100000,0.014565,0.000000
2,77.100000,0.042553,0.000000
3,77.100000,0.059833,0.000000
4,77.100000,0.080385,0.000000
5,77.100000,0.080386,0.000000
6,77.100000,0.049095,0.000000
7,77.100000,0.014566,0.000000
8,77.100000,0.014580,0.000000
9,77.100000,0.014578,0.000000
0,78.100000,0.080367,0.000000
1,78.100000,0.014569,0.000000
2,78.100000,0.042553,0.000000
3,78.100000,0.059833,0.000000
